NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1538089885,352.3538,5000000,800,25000
3767310,1538089941,391.9450,1000000,200,100000
3767310,1538090001,396.6200,1000000,200,100000
3767310,1538090061,400.6200,1000000,200,100000
3767310,1538090121,372.1750,1000000,200,100000
3767310,1538090181,379.5400,1000000,200,100000
3767310,1538090241,412.0700,1000000,200,100000
3767310,1538090370,383.7150,1000000,200,100000
3767310,1538090421,414.0250,1000000,200,100000
3767310,1538090481,422.1800,1000000,200,100000
3767310,1538090541,423.0650,1000000,200,100000
3767310,1538090601,425.7150,1000000,200,100000
3767310,1538090661,429.7050,1000000,200,100000
3767310,1538090721,432.2850,1000000,200,100000
3767310,1538090781,429.0850,1000000,200,100000
3767310,1538090841,434.6700,1000000,200,100000
3767310,1538090981,403.5600,1000000,200,100000
3767310,1538091021,439.4950,1000000,200,100000
3767310,1538091081,440.7150,1000000,200,100000
3767310,1538091141,401.4500,1000000,200,100000
3767310,1538091201,441.1600,1000000,200,100000
3767310,1538091261,440.4200,1000000,200,100000
3767310,1538091321,437.7950,1000000,200,100000
3767310,1538091381,405.3850,1000000,200,100000
3767310,1538091441,411.3750,1000000,200,100000
3767310,1538091593,424.3100,1000000,200,100000
3767310,1538091621,456.4050,1000000,200,100000
3767310,1538091681,422.1000,1000000,200,100000
3767310,1538091741,420.2600,1000000,200,100000
3767310,1538091801,452.5250,1000000,200,100000
3767310,1538091861,427.6850,1000000,200,100000
3767310,1538091921,430.2900,1000000,200,100000
3767310,1538091981,465.3400,1000000,200,100000
3767310,1538092041,469.7600,1000000,200,100000
3767310,1538092161,439.7650,1000000,200,100000
3767310,1538092221,470.9750,1000000,200,100000
3767310,1538092281,477.0800,1000000,200,100000
3767310,1538092341,477.6150,1000000,200,100000
3767310,1538092401,482.2900,1000000,200,100000
3767310,1538092461,482.2300,1000000,200,100000
3767310,1538092521,489.9200,1000000,200,100000
3767310,1538092581,451.1750,1000000,200,100000
3767310,1538092641,445.9450,1000000,200,100000
3767310,1538092701,478.9050,1000000,200,100000
3767310,1538092795,448.9900,1000000,200,100000
3767310,1538092821,474.9400,1000000,200,100000
3767310,1538092881,474.8700,1000000,200,100000
3767310,1538092941,476.5450,1000000,200,100000
3767310,1538093001,479.4900,1000000,200,100000
3767310,1538093061,481.7750,1000000,200,100000
3767310,1538093121,476.1850,1000000,200,100000
3767310,1538093181,479.7550,1000000,200,100000
3767310,1538093241,477.4950,1000000,200,100000
3767310,1538093366,446.3800,1000000,200,100000
3767310,1538093421,477.5700,1000000,200,100000
3767310,1538093481,478.1050,1000000,200,100000
3767310,1538093541,479.6550,1000000,200,100000
3767310,1538093601,481.4100,1000000,200,100000
3767310,1538093661,482.9050,1000000,200,100000
3767310,1538093721,480.9650,1000000,200,100000
3767310,1538093781,481.3050,1000000,200,100000
3767310,1538093841,482.8850,1000000,200,100000
3767310,1538093902,486.5850,2000000,200,100000
3767310,1538093987,451.5500,2000000,200,100000
3767310,1538094022,482.0550,2000000,200,100000
3767310,1538094082,451.4150,2000000,200,100000
3767310,1538094142,485.7800,2000000,200,100000
3767310,1538094202,484.6350,2000000,200,100000
3767310,1538094262,484.1600,2000000,200,100000
3767310,1538094322,485.9600,2000000,200,100000
3767310,1538094382,484.1450,2000000,200,100000
3767310,1538094442,489.2000,2000000,200,100000
3767310,1538094587,459.7700,2000000,200,100000
3767310,1538094622,497.4750,2000000,200,100000
3767310,1538094682,499.5050,2000000,200,100000
3767310,1538094742,499.1150,2000000,200,100000
3767310,1538094802,503.7150,2000000,200,100000
3767310,1538094862,500.2250,2000000,200,100000
3767310,1538094922,504.7350,2000000,200,100000
3767310,1538094982,500.7100,2000000,200,100000
3767310,1538095042,508.2400,2000000,200,100000
3767310,1538095192,470.3000,2000000,200,100000
3767310,1538095222,501.2900,2000000,200,100000
3767310,1538095282,507.9500,2000000,200,100000
3767310,1538095342,501.2600,2000000,200,100000
3767310,1538095402,505.7950,2000000,200,100000
3767310,1538095462,495.2800,2000000,200,100000
3767310,1538095522,505.5150,2000000,200,100000
3767310,1538095582,506.5650,2000000,200,100000
3767310,1538095642,503.0800,2000000,200,100000
3767310,1538095773,459.3700,2000000,200,100000
3767310,1538095822,490.6300,2000000,200,100000
3767310,1538095882,496.1100,2000000,200,100000
3767310,1538095942,460.0400,2000000,200,100000
3767310,1538096002,462.0850,2000000,200,100000
3767310,1538096062,498.1700,2000000,200,100000
3767310,1538096122,498.3600,2000000,200,100000
3767310,1538096182,495.5350,2000000,200,100000
3767310,1538096242,507.9750,2000000,200,100000
3767310,1538096387,476.1900,2000000,200,100000
3767310,1538096422,509.8700,2000000,200,100000
3767310,1538096482,518.1800,2000000,200,100000
3767310,1538096542,513.4700,2000000,200,100000
3767310,1538096602,506.8150,2000000,200,100000
3767310,1538096662,507.0550,2000000,200,100000
3767310,1538096722,508.7750,2000000,200,100000
3767310,1538096782,508.4600,2000000,200,100000
3767310,1538096842,505.8100,2000000,200,100000
3767310,1538096902,505.8750,2000000,200,100000
3767310,1538096987,479.1400,2000000,200,100000
3767310,1538097022,507.1950,2000000,200,100000
3767310,1538097082,531.6700,2000000,200,100000
3767310,1538097142,512.1250,2000000,200,100000
3767310,1538097202,528.6550,2000000,200,100000
3767310,1538097262,690.6700,2000000,200,100000
3767310,1538097322,704.3400,2000000,200,100000
3767310,1538097382,703.4000,2000000,200,100000
3767310,1538097442,703.4350,2000000,200,100000
3767310,1538097573,607.4850,2000000,200,100000
3767310,1538097622,649.2000,2000000,200,100000
3767310,1538097682,666.3700,2000000,200,100000
3767310,1538097742,633.0750,2000000,200,100000
3767310,1538097802,648.7200,2000000,200,100000
3767310,1538097864,510.3800,4000000,200,100000
3767310,1538097924,472.7100,4000000,200,100000
3767310,1538097984,506.5450,4000000,200,100000
3767310,1538098044,506.2900,4000000,200,100000
3767310,1538098189,465.2450,4000000,200,100000
3767310,1538098224,502.6550,4000000,200,100000
